speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
22.499999999999996,20.0,60.0,15.0,12.500000000000005,12.5,12.502960934301068,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
25.5,20.0,60.0,17.0,12.5,12.5,12.502960934301072,12.5,12.500000000000002,12.505056468708254,12.502786976115425,12.5
28.499999999999996,20.0,60.0,19.0,12.5,12.5,12.502960934301068,12.5,12.500000000000002,12.505056468708252,12.502786976115424,12.5
31.5,20.0,60.0,21.0,12.499999999999998,12.5,12.502960934301074,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
34.5,20.0,60.0,23.0,12.499999999999998,12.5,12.502960934301068,12.5,12.5,12.505056468708254,12.502786976115425,12.5
37.5,20.0,60.0,25.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115425,12.5
40.49999999999999,20.0,60.0,27.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708254,12.502786976115425,12.5
43.5,20.0,60.0,29.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.50278697611542,12.5
46.49999999999999,20.0,60.0,31.0,12.500000000000002,12.5,12.502960934301072,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
49.5,20.0,60.0,33.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115424,12.5
52.5,20.0,60.0,35.0,12.499999999999998,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
55.49999999999999,20.0,60.0,37.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115425,12.5
58.49999999999999,20.0,60.0,39.0,12.500000000000002,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708254,12.502786976115427,12.5
61.5,20.0,60.0,41.0,12.5,12.5,12.502960934301067,12.5,12.5,12.505056468708252,12.502786976115424,12.5
64.5,20.0,60.0,43.0,12.5,12.5,12.502960934301067,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
67.49999999999999,20.0,60.0,45.0,12.500000000000002,12.5,12.502960934301074,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
70.5,20.0,60.0,47.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115425,12.5
73.5,20.0,60.0,49.0,12.499999999999998,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708254,12.502786976115418,12.5
76.5,20.0,60.0,51.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115425,12.5
79.49999999999999,20.0,60.0,53.0,12.499999999999998,12.5,12.502960934301074,12.5,12.5,12.505056468708252,12.502786976115424,12.5
82.5,20.0,60.0,55.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115427,12.5
85.5,20.0,60.0,57.0,12.500000000000002,12.5,12.502960934301074,12.5,12.500000000000002,12.505056468708252,12.502786976115427,12.5
88.5,20.0,60.0,59.0,12.500000000000002,12.5,12.502960934301074,12.499999999999998,12.500000000000002,12.505056468708252,12.502786976115425,12.499999999999998
91.49999999999999,20.0,60.0,61.0,12.500000000000007,12.5,12.502960934301074,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
94.5,20.0,60.0,63.0,12.499999999999998,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115427,12.5
97.5,20.0,60.0,65.0,12.499999999999996,12.500000000000002,12.502960934301072,12.500000000000002,12.499999999999998,12.505056468708252,12.502786976115424,12.500000000000002
100.49999999999999,20.0,60.0,67.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115424,12.5
103.49999999999999,20.0,60.0,69.0,12.5,12.5,12.502960934301074,12.5,12.5,12.505056468708252,12.502786976115425,12.5
106.49999999999999,20.0,60.0,71.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708254,12.502786976115425,12.5
109.5,20.0,60.0,73.0,12.500000000000002,12.5,12.502960934301067,12.5,12.5,12.505056468708252,12.502786976115425,12.5
112.5,20.0,60.0,75.0,12.5,12.5,12.502960934301074,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
115.5,20.0,60.0,77.0,12.499999999999998,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115425,12.5
118.5,20.0,60.0,79.0,12.5,12.5,12.502960934301074,12.5,12.5,12.505056468708252,12.502786976115424,12.5
121.49999999999999,20.0,60.0,81.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115427,12.5
124.49999999999999,20.0,60.0,83.0,12.500000000000002,12.5,12.502960934301068,12.500000000000002,12.500000000000002,12.505056468708252,12.502786976115427,12.5
127.49999999999999,20.0,60.0,85.0,12.500000000000005,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
130.5,20.0,60.0,87.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115424,12.5
133.5,20.0,60.0,89.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
136.5,20.0,60.0,91.0,12.5,12.500000000000002,12.502960934301074,12.5,12.5,12.505056468708254,12.502786976115425,12.5
139.5,20.0,60.0,93.0,12.500000000000002,12.5,12.502960934301074,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
142.5,20.0,60.0,95.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115427,12.5
145.49999999999997,20.0,60.0,97.0,12.500000000000002,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115424,12.5
148.49999999999997,20.0,60.0,99.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
151.5,20.0,60.0,101.0,12.5,12.499999999999998,12.502960934301068,12.499999999999998,12.5,12.505056468708252,12.502786976115425,12.499999999999998
154.5,20.0,60.0,103.0,12.499999999999998,12.5,12.502960934301068,12.5,12.500000000000002,12.505056468708252,12.502786976115424,12.5
157.5,20.0,60.0,105.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
160.5,20.0,60.0,107.0,12.5,12.500000000000002,12.502960934301074,12.500000000000002,12.500000000000002,12.505056468708252,12.502786976115425,12.5
163.5,20.0,60.0,109.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115425,12.5
166.5,20.0,60.0,111.0,12.500000000000002,12.5,12.502960934301077,12.5,12.500000000000002,12.505056468708252,12.502786976115427,12.5
169.49999999999997,20.0,60.0,113.0,12.499999999999998,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
172.49999999999997,20.0,60.0,115.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708254,12.502786976115425,12.5
175.49999999999997,20.0,60.0,117.0,12.499999999999998,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115425,12.5
178.5,20.0,60.0,119.0,12.500000000000002,12.499999999999998,12.502960934301068,12.5,12.499999999999996,12.505056468708254,12.502786976115425,12.5
181.5,20.0,60.0,121.0,12.5,12.5,12.502960934301067,12.5,12.5,12.505056468708252,12.502786976115424,12.5
184.5,20.0,60.0,123.0,12.499999999999998,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115424,12.5
187.5,20.0,60.0,125.0,12.5,12.5,12.502960934301072,12.5,12.500000000000005,12.505056468708254,12.502786976115424,12.5
190.5,20.0,60.0,127.0,12.5,12.5,12.502960934301067,12.5,12.5,12.505056468708252,12.502786976115424,12.5
193.49999999999997,20.0,60.0,129.0,12.499999999999998,12.5,12.502960934301072,12.5,12.499999999999996,12.505056468708252,12.502786976115427,12.5
196.49999999999997,20.0,60.0,131.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115425,12.5
199.49999999999997,20.0,60.0,133.0,12.499999999999998,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
202.5,20.0,60.0,135.0,12.5,12.5,12.502960934301072,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
205.49999999999997,20.0,60.0,137.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115425,12.5
208.5,20.0,60.0,139.0,12.499999999999998,12.5,12.502960934301067,12.5,12.500000000000002,12.505056468708252,12.502786976115427,12.5
211.49999999999997,20.0,60.0,141.0,12.5,12.5,12.502960934301068,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
214.5,20.0,60.0,143.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115424,12.5
217.49999999999997,20.0,60.0,145.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115427,12.5
220.5,20.0,60.0,147.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115427,12.5
223.49999999999997,20.0,60.0,149.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
226.5,20.0,60.0,151.0,12.500000000000002,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708254,12.502786976115427,12.5
229.5,20.0,60.0,153.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115427,12.5
232.49999999999997,20.0,60.0,155.0,12.499999999999998,12.5,12.502960934301068,12.5,12.499999999999996,12.505056468708252,12.50278697611542,12.5
235.5,20.0,60.0,157.0,12.5,12.5,12.502960934301075,12.499999999999998,12.5,12.505056468708252,12.502786976115424,12.5
238.49999999999997,20.0,60.0,159.0,12.500000000000002,12.5,12.502960934301072,12.5,12.500000000000002,12.505056468708252,12.502786976115429,12.5
241.5,20.0,60.0,161.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115427,12.5
244.49999999999997,20.0,60.0,163.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708254,12.502786976115425,12.5
247.5,20.0,60.0,165.0,12.5,12.5,12.502960934301074,12.5,12.5,12.505056468708252,12.50278697611542,12.5
250.49999999999997,20.0,60.0,167.0,12.5,12.5,12.502960934301068,12.5,12.499999999999998,12.505056468708254,12.50278697611542,12.5
253.49999999999997,20.0,60.0,169.0,12.500000000000002,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.50278697611542,12.5
256.5,20.0,60.0,171.0,12.5,12.5,12.502960934301067,12.5,12.499999999999993,12.505056468708252,12.502786976115427,12.5
259.49999999999994,20.0,60.0,173.0,12.500000000000002,12.5,12.502960934301074,12.5,12.5,12.505056468708252,12.502786976115424,12.5
262.5,20.0,60.0,175.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115425,12.5
265.5,20.0,60.0,177.0,12.499999999999996,12.5,12.502960934301072,12.5,12.499999999999996,12.505056468708252,12.502786976115424,12.5
268.5,20.0,60.0,179.0,12.5,12.5,12.502960934301067,12.5,12.500000000000005,12.505056468708252,12.502786976115429,12.5
271.5,20.0,60.0,181.0,12.500000000000005,12.5,12.502960934301074,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
274.5,20.0,60.0,183.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115427,12.5
277.5,20.0,60.0,185.0,12.5,12.499999999999998,12.502960934301068,12.499999999999998,12.500000000000005,12.505056468708252,12.502786976115427,12.499999999999998
280.49999999999994,20.0,60.0,187.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115425,12.5
283.5,20.0,60.0,189.0,12.499999999999998,12.5,12.502960934301068,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
286.49999999999994,20.0,60.0,191.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115424,12.5
289.5,20.0,60.0,193.0,12.500000000000002,12.5,12.502960934301072,12.5,12.500000000000002,12.505056468708252,12.502786976115429,12.5
292.5,20.0,60.0,195.0,12.499999999999998,12.5,12.502960934301074,12.5,12.499999999999998,12.505056468708252,12.50278697611542,12.5
295.5,20.0,60.0,197.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115424,12.5
298.5,20.0,60.0,199.0,12.500000000000002,12.5,12.502960934301067,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
301.49999999999994,20.0,60.0,201.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115427,12.5
304.5,20.0,60.0,203.0,12.499999999999998,12.5,12.502960934301067,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
307.49999999999994,20.0,60.0,205.0,12.5,12.5,12.502960934301074,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
310.5,20.0,60.0,207.0,12.500000000000002,12.5,12.502960934301074,12.5,12.5,12.505056468708252,12.502786976115425,12.5
313.5,20.0,60.0,209.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
316.5,20.0,60.0,211.0,12.500000000000002,12.5,12.502960934301068,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
319.5,20.0,60.0,213.0,12.499999999999998,12.5,12.502960934301074,12.5,12.499999999999998,12.505056468708254,12.50278697611542,12.5
